guid,title,pubDate,description,link,media
http://www.hindustantimes.com/delhi/arvind-kejriwal-s-brother-in-law-accused-of-corruption-delhi-police-launch-inquiry/story-7bbauI5YtPeMr9UQPCLxzL.html,"Arvind Kejriwal, brother-in-law accused of corruption; Delhi Police launch probe","Tue, 24 Jan 2017 11:04:46 GMT ",Police have registered a preliminary enquiry against Delhi chief minister Arvind Kejriwal’s brother-in-law over alleged irregularities in the granting of contracts for building roads and the laying of sewer lines in the city.,http://www.hindustantimes.com/delhi/arvind-kejriwal-s-brother-in-law-accused-of-corruption-delhi-police-launch-inquiry/story-7bbauI5YtPeMr9UQPCLxzL.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/24/Pictures/saturday-september-addressing-september-hindustan-kejriwal-dialogue_62af0794-e21e-11e6-af2a-7d9058160009.jpg
http://www.hindustantimes.com/cricket/live-bcci-vs-lodha-panel-sc-set-to-name-administrators-to-run-cricket-board/story-fRt9SjtM7jyx9o9nrTRQ9M.html,Where were you when we passed order? Supreme Court fires yorker at warring BCCI,"Tue, 24 Jan 2017 10:52:21 GMT ",BCCI vs Lodha panel hearing in Supreme Court: A three-member Supreme Court bench has asked for names from the Board of Control for Cricket in India for the administrator’s panel. Next hearing is on January 30,http://www.hindustantimes.com/cricket/live-bcci-vs-lodha-panel-sc-set-to-name-administrators-to-run-cricket-board/story-fRt9SjtM7jyx9o9nrTRQ9M.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/24/Pictures/bcci-building_f2d27ea4-e1fc-11e6-af2a-7d9058160009.jpg
http://www.hindustantimes.com/india-news/meet-sangeet-som-bjp-s-campaigner-for-hindu-identity-in-up-elections/story-ughrCy0UVEJrCoLlsCNfUL.html,"Meet Sangeet Som, BJP's campaigner for 'Hindu identity' in UP election","Tue, 24 Jan 2017 08:41:08 GMT ",BJP implicated in the Muzaffanagar riots of 2013 says he aggressive about defending Hindu rights but he is not communal.,http://www.hindustantimes.com/india-news/meet-sangeet-som-bjp-s-campaigner-for-hindu-identity-in-up-elections/story-ughrCy0UVEJrCoLlsCNfUL.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/24/Pictures/_a476abae-e210-11e6-af2a-7d9058160009.jpg
http://www.hindustantimes.com/delhi/delhi-accident-bmw-driver-an-mnc-employee-loves-fast-expensive-cars/story-5yDjePZ36f1HkxuG34cseO.html,"Delhi accident: BMW driver an MNC employee, loves fast, expensive cars","Tue, 24 Jan 2017 04:42:56 GMT ","What is undisputed is Kohli’s love for cars and football. An ardent fan of Manchester United football club, Kohli took keen interest in cars he and his family bought.",http://www.hindustantimes.com/delhi/delhi-accident-bmw-driver-an-mnc-employee-loves-fast-expensive-cars/story-5yDjePZ36f1HkxuG34cseO.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/24/Pictures/bmw-accident-car_0d0d6206-e1e0-11e6-af2a-7d9058160009.jpg
http://www.hindustantimes.com/india-news/bjp-targets-kannur-hotbed-of-kerala-political-violence-after-rss-worker-s-killing/story-vyB7G2VFLQoQGNlGMc7wSO.html,"BJP targets Kannur, hotbed of Kerala violence, after RSS worker's death","Mon, 23 Jan 2017 07:57:27 GMT ","RSS worker Santhosh (52) was hacked to death by an alleged gang of CPI(M) workers on Wednesday in Andalur near Dharmadam. Though the Left party had disowned the latest murder, all the arrested in connection with the killing are CPI(M) workers, prompting state BJP president Kummanam Rajasekharan to hold the CM accountable.",http://www.hindustantimes.com/india-news/bjp-targets-kannur-hotbed-of-kerala-political-violence-after-rss-worker-s-killing/story-vyB7G2VFLQoQGNlGMc7wSO.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/23/Pictures/agitated-received-available-procession-thursday-tension-allowing_282deeae-e12f-11e6-af2a-7d9058160009.jpg
http://www.hindustantimes.com/india-news/jallikattu-live-police-begin-evicting-protesters-from-marina-beach/story-SmJo5OSBmFH0yIgNsntDOL.html,"Jallikattu protests:&thinsp;Bill passed, hurdles to sport removed, says Tamil Nadu CM","Mon, 23 Jan 2017 05:28:58 GMT ",,http://www.hindustantimes.com/india-news/jallikattu-live-police-begin-evicting-protesters-from-marina-beach/story-SmJo5OSBmFH0yIgNsntDOL.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/23/Pictures/youngstres-and-students-protest-jallikattu-lift-ban_1ea0ef38-e172-11e6-9d7d-d507b5492481.jpg
http://www.hindustantimes.com/india-news/cia-thought-sai-baba-s-movement-would-become-a-worldwide-religion/story-HSkb4izaItHFlTkXS6cUBP.html,CIA files: 'Alleged miracle worker' Sathya Sai Baba could start world religion,"Mon, 23 Jan 2017 02:54:28 GMT ","The 16-page report, titled Cultural Trends Study: India’s Sai Baba Movement, is among some 13 million declassified documents from the CIA that have been released online. The report was marked “Secret”, the agency’s second highest classification, and was not meant to be released to any foreign nationals.",http://www.hindustantimes.com/india-news/cia-thought-sai-baba-s-movement-would-become-a-worldwide-religion/story-HSkb4izaItHFlTkXS6cUBP.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/23/Pictures/puneet-grounds-chandhok-mumbai-goregaon-visit-saturday_1befb570-e141-11e6-af2a-7d9058160009.jpg
http://www.hindustantimes.com/india-news/woman-clerk-refuses-to-sing-duet-with-railway-officer-gets-a-harsh-note/story-5OvVDXAd6Mtp2knSGg5auO.html,"Woman clerk refuses to sing duet with railway officer, gets a harsh note","Mon, 23 Jan 2017 01:57:52 GMT ",Anjali Tiwari was told it’s her duty to sing because she had been appointed under the cultural quota.,http://www.hindustantimes.com/india-news/woman-clerk-refuses-to-sing-duet-with-railway-officer-gets-a-harsh-note/story-5OvVDXAd6Mtp2knSGg5auO.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/11/Pictures/indian-railways_c6ab3b04-d766-11e6-bfdf-9650955a20b7.jpg
http://www.hindustantimes.com/delhi/police-face-court-rap-over-arrests-of-aap-legislators/story-OcmPB5hzvHl3D4QRC6uixL.html,"13 AAP MLAs booked in two years, Delhi Police face court rap over arrests","Mon, 23 Jan 2017 01:09:52 GMT ","An HT investigation into the court papers of the cases against the 13 AAP legislators shows that the police are struggling to explain the charges in most cases, earning courts’ ire for shoddy investigation. ",http://www.hindustantimes.com/delhi/police-face-court-rap-over-arrests-of-aap-legislators/story-OcmPB5hzvHl3D4QRC6uixL.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/23/Pictures/aap_24c074f0-e0d3-11e6-84f6-f9b2ee092ea6.jpg
http://www.hindustantimes.com/tv/jackie-chan-to-promote-kung-fu-yoga-on-the-kapil-sharma-show/story-EZc90Ts3HT6YeXATv1MshM.html,Jackie Chan to promote Kung Fu Yoga on The Kapil Sharma Show,"Mon, 23 Jan 2017 07:50:27 GMT ","While Sunday’s episode of the Kapil Sharma Show witnessed yoga guru Baba Ramdev’s antics, Shah Rukh Khan  will promote his upcoming film Raees, along with Nawazuddin Siddiqui next weekend. But Kapil is showing no signs of slowing down as far his guests are concerned.International star Jackie Chan is going to promote his upcoming film Kung Fu Yoga. ",http://www.hindustantimes.com/tv/jackie-chan-to-promote-kung-fu-yoga-on-the-kapil-sharma-show/story-EZc90Ts3HT6YeXATv1MshM.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/23/Pictures/_ee7780fe-e13c-11e6-8928-7117e2ec64fa.jpg
http://www.hindustantimes.com/other-sports/saina-nehwal-back-to-her-best-wins-malaysia-masters-badminton-title/story-a4DoLajaizmQD0VuB5wlhM.html,"Saina Nehwal back to her best, wins Malaysia Masters badminton title","Sun, 22 Jan 2017 10:17:58 GMT ","Saina Nehwal is back to her winning ways after recovering from a career-threatening knee injury suffered during Rio Olympics. The Indian badminton ace beat Thailand teenager Pornpawee Chochuwong 22-20, 22-20 in the final of the Malaysia Masters Grand Prix Gold badminton tournament on Sunday.",http://www.hindustantimes.com/other-sports/saina-nehwal-back-to-her-best-wins-malaysia-masters-badminton-title/story-a4DoLajaizmQD0VuB5wlhM.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/22/Pictures/saina-nehwal_b958821c-e081-11e6-84f6-f9b2ee092ea6.jpg
http://www.hindustantimes.com/india-news/7-coaches-and-the-engine-of-jagdalpur-bhubaneswar-express-derail-near-vizianagaram/story-tnOVllM4tQnm8LtIy8lRUP.html,"32 dead as Hirakhand Express train derails near Vizianagaram, rescue ops on","Sun, 22 Jan 2017 05:33:02 GMT ",Twelve people were killed as seven coaches and the engine of Jagdalpur-Bhubaneswar Express derailed near Kuneru station in Vizianagaram district of Andhra Pradesh late on Saturday night.,http://www.hindustantimes.com/india-news/7-coaches-and-the-engine-of-jagdalpur-bhubaneswar-express-derail-near-vizianagaram/story-tnOVllM4tQnm8LtIy8lRUP.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/22/Pictures/_c39c0672-e045-11e6-8bc2-389d9c78b3df.png
http://www.hindustantimes.com/assembly-elections/up-elections-sonia-steps-in-to-revive-flagging-sp-congress-alliance-talks/story-v4ZtuCfcFZ22HPHRwzMc2O.html,UP&thinsp;elections: Sonia steps in to revive SP-Congress alliance talks,"Sat, 21 Jan 2017 08:47:09 GMT ","As the parleys between the Congress and the ruling Samajwadi Party (SP) in Uttar Pradesh appeared to collapse over seat-sharing, Congress President Sonia Gandhi on Saturday intervened and spoke to Uttar Pradesh Chief Minister Akhilesh Yadav on the phone.",http://www.hindustantimes.com/assembly-elections/up-elections-sonia-steps-in-to-revive-flagging-sp-congress-alliance-talks/story-v4ZtuCfcFZ22HPHRwzMc2O.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/22/Pictures/indira-gandhi-centennial-lecture_15bbe570-e010-11e6-a538-54bd197a5a1b.jpg
http://www.hindustantimes.com/world-news/president-trump-deletes-misspelled-tweet-saying-he-s-honered-to-serve-america/story-h1dCcKLZhITT1aLORhC8vI.html,President Trump deletes misspelled tweet saying he's 'honered' to serve America,"Sat, 21 Jan 2017 07:39:30 GMT ","Donald Trump tweeted Saturday that “I am honered to serve you, the great American People, as your 45th President of the United States!” He misspelled “honored” by swapping in an “e’‘ for an “o.”",http://www.hindustantimes.com/world-news/president-trump-deletes-misspelled-tweet-saying-he-s-honered-to-serve-america/story-h1dCcKLZhITT1aLORhC8vI.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/22/Pictures/inauguration-day-marching-bands_d985c016-e010-11e6-a538-54bd197a5a1b.jpg
http://www.hindustantimes.com/bhopal/released-from-pak-jail-mp-youth-to-fish-in-troubled-waters-again/story-TGOmbbSjCwwL6fBedt7gvL.html,"Released from Pak jail, MP youth to fish in troubled waters again","Sat, 21 Jan 2017 07:04:24 GMT ","After languishing in Karachi jail for 10 months for inadvertently straying into the Pakistani sea in March 2015, a tribal youth from Madhya Pradesh is ready to fish in troubled waters once again. ",http://www.hindustantimes.com/bhopal/released-from-pak-jail-mp-youth-to-fish-in-troubled-waters-again/story-TGOmbbSjCwwL6fBedt7gvL.html,http://www.hindustantimes.com/rf/image_size_630x354/HT/p2/2017/01/22/Pictures/_38ce2090-e00c-11e6-84f6-f9b2ee092ea6.jpg
